"統一編號","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址"
"40532088","奇銲重機企業社","CI-HAN MOTO WORKSHOP","臺中市北屯區和平里建和路二段３１６號","No. 316, Sec. 2, Jianhe Rd., Heping Vil., Beitun Dist., Taichung City 40642, Taiwan (R.O.C.)"
"40539625","弘井機械有限公司","HONG JING MACHINE CO., LTD.","宜蘭縣宜蘭市中山路五段109號1樓","1 F., No. 109, Sec. 5, Zhongshan Rd., Yilan City, Yilan County 26054, Taiwan (R.O.C.)"
"40540637","千行設計工作室","Foot print design studio","臺中市北區健行里華富街７５號４樓之１","4 F.-1, No. 75, Huafu St., Jianxing Vil., North Dist., Taichung City 404026, Taiwan (R.O.C.)"
"40544508","億立特貿易行","ELITEMOLD INJECTION CO.","臺中市太平區福隆里東方一街２巷１３號１樓","1 F., No. 13, Ln. 2, Dongfang 1st St., Fulong Vil., Taiping Dist., Taichung City 411033, Taiwan (R.O.C.)"
"40544606","樂沐亞食品行","LE MEILLEUR FOOD FIRM","臺中市北屯區水景里軍福十八路３７１號１樓","1 F., No. 371, Junfu 18th Rd., Shuijing Vil., Beitun Dist., Taichung City 406005, Taiwan (R.O.C.)"
"40544704","厚德工業社","FORWARD VALVE COMPANY","臺中市北屯區仁和里山西北二街４９號１樓","1 F., No. 49, Shanxi N. 2nd St., Renhe Vil., Beitun Dist., Taichung City 40672, Taiwan (R.O.C.)"
"40546132","迎希精品服飾","ANN'S KOREA Studio","臺中市北屯區水景里松竹五路二段１６５之２號","No. 165-2, Shuijing Vil., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
"40547907","絨騰貿易商行","RONG TENG CO.","臺中市豐原區西湳里東洲路１８２號１樓","1 F., No. 182, Dongzhou Rd., Xinan Vil., Fengyuan Dist., Taichung City 420086, Taiwan (R.O.C.)"
"40548119","源興國際股份有限公司","SHYE CHERNG IRON & STEEL CO., LTD.","臺北市中正區忠孝西路1段41號6樓之17","6 F.-17, No. 41, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100009, Taiwan (R.O.C.)"
"40548363","來旺建材有限公司","LAI-OWN CORPORATION","宜蘭縣頭城鎮城東里青雲路三段268號","No. 268, Sec. 3, Qingyun Rd., Chengdong Vil., Toucheng Township, Yilan County 26143, Taiwan (R.O.C.)"
"40548785","茶流飲料店","Tea flow beverage shop","臺中市潭子區甘蔗里勝利路３０１號１樓","1 F., No. 301, Shengli Rd., Ganzhe Vil., Tanzi Dist., Taichung City 42750, Taiwan (R.O.C.)"
"40548899","發昌企業有限公司","FA CHANG ENTERPRISE CO., LTD.","宜蘭縣宜蘭市延平里東港路二段26號","No. 26, Sec. 2, Donggang Rd., Yanping Vil., Yilan City, Yilan County 260024, Taiwan (R.O.C.)"
"40549399","京田實業社","JING TIAN HUANG COMPANY","臺中市太平區宜佳里宜福街４２巷５號１樓","1 F., No. 5, Ln. 42, Yifu St., Yijia Vil., Taiping Dist., Taichung City 41163, Taiwan (R.O.C.)"
"40553436","吾梅肉號","OUMAIN SHOP","宜蘭縣宜蘭市民生里３１２號","No. 312, Minsheng Vil., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
"40554907","立揚鞋業企業社","GREAT LIH YANG ENTERPRISE CO.","臺中市潭子區潭陽里潭興路二段１９３巷２弄５號１樓","1 F., No. 5, Aly. 2, Ln. 193, Sec. 2, Tanxing Rd., Tanyang Vil., Tanzi Dist., Taichung City 42757, Taiwan (R.O.C.)"
"40558452","東源肉商","DAEN YUAN SHOP","宜蘭縣宜蘭市民生里光復路125號地下一層","No. 125, Guangfu Rd., Minsheng Vil., Yilan City, Yilan County 26043, Taiwan (R.O.C.)"
"40563223","鼎力體育用品社","DING LIH SPORTS CLUB","臺中市東區東信里長福東街２３號１樓","1 F., No. 23, Changfu E. St., Dongxin Vil., East Dist., Taichung City 40149, Taiwan (R.O.C.)"
"40563954","東陞機械企業社","DONG SHENG MACHINERY COMPANY","臺中市霧峰區本堂里樹仁路１５１巷２號１樓","1 F., No. 2, Ln. 151, Shuren Rd., Bentang Vil., Wufeng Dist., Taichung City 41341, Taiwan (R.O.C.)"
"40566278","佶俐企業股份有限公司","ROYAL PIPE CLEANERS INDUSTRIAL CORP.","宜蘭縣冬山鄉永美村冬山路三段181巷47號","No. 47, Ln. 181, Sec. 3,  Dongshan Rd., Yongmei Vil., Dongshan Township,  Yilan County 269037, Taiwan (R.O.C.)"
"40566376","西洋水產有限公司","SHI YANG MARINE PRODUCT CO., LTD.","宜蘭縣頭城鎮濱海路五段487號1樓","1 F., No. 487, Sec. 5, Binhai Rd., Toucheng Township, Yilan County 26145, Taiwan (R.O.C.)"
"40566875","德合記食品廠","Deheji Food Factory","宜蘭縣礁溪鄉龍潭村育龍路398號","No. 398, Yulong Rd., Jiaoxi Township, Yilan County 26246, Taiwan (R.O.C.)"
"40567570","堡鳳菸酒行","POWERFUL TOBACCO & DRINKS CO.","宜蘭縣宜蘭市成功里中興路245號一樓","1 F., No. 245, Zhongxing Rd., Chenggong Vil., Yilan City, Yilan County 26056, Taiwan (R.O.C.)"
"40568022","南北商行","NAN PEAN SHOP","宜蘭縣宜蘭市民生里康樂路一三三號（第一公有零售巿場第二七三號攤位）","No. 133, Kangle Rd., Minsheng Vil., Yilan City, Yilan County 26049, Taiwan (R.O.C.)"
"40568183","女人我最美購物商城","Woman my most beautiful shopping mall Co.","臺中市中區中華里中華路一段１０９號１２樓之１","12F.-1, No. 109, Sec. 1, Zhonghua Rd., Zhonghua Vil., Central Dist., Taichung City 40041, Taiwan (R.O.C.)"
"40571069","?龍行","SEAN LONG SHOP","宜蘭縣羅東鎮開明里民族路2號一樓","1 F., No. 2, Minzu Rd., Kaiming Vil., Luodong Township, Yilan County 26545, Taiwan (R.O.C.)"
"40572004","蘭一科技股份有限公司","LANG YU ENTERPRISE CO., LTD.","宜蘭縣冬山鄉順安村31鄰華祥路169號1樓","1F., No. 169, Huaxiang Rd., 31th Neighborhood, Shun'an Vil., Dongshan Township,  Yilan County 269036, Taiwan (R.O.C.)"
"40573518","和益木業有限公司","HO YI LUMBER CO., LTD.","宜蘭縣羅東鎮復興路3段75巷52號","No. 52, Ln. 75, Sec. 3, Fuxing Rd., Luodong Township, Yilan County 265013, Taiwan (R.O.C.)"
"40573806","可麗絲朵廣告行銷有限公司","JUN-CHANG WOOD CO., LTD.","宜蘭縣羅東鎮光榮路156號三樓","3 F., No. 156, Guangrong Rd., Luodong Township, Yilan County 265011, Taiwan (R.O.C.)"
"40578561","影侍數位設計工作室","KAGE SAMURAI DIGITAL DESIGN STUDIO","臺中市東區十甲里十甲路２５３號１樓","1 F., No. 253, Shijia Rd., Shijia Vil., East Dist., Taichung City 401021, Taiwan (R.O.C.)"
"40579674","立山機械工廠股份有限公司","LIH SHAN MACHINERY FACTORY CO., LTD.","宜蘭縣蘇澳鎮龍德里自強路7號","No. 7, Ziqiang Rd., Longde Vil., Su’ao Township, Yilan County 270016, Taiwan (R.O.C.)"
"40579724","國隴電化工業股份有限公司","KUO LUNG FERRO SILICON MFG., CORP.","宜蘭縣冬山鄉冬山路1段81巷10號","No. 10, Ln. 81, Sec. 1, Dongshan Rd., Dongshan Township, Yilan County 26948, Taiwan (R.O.C.)"
"40580638","台灣良塚精工股份有限公司","TAIWAN YOSHIZUKA INDUSTRIES CO., LTD.","宜蘭縣五結鄉五結村國民南路6之18號","No. 6-18, Guomin S. Rd., Wujie Vil., Wujie Township,  Yilan County 268038, Taiwan (R.O.C.)"
"40581828","阿勒企業社","ALEI CO.","桃園市中壢區忠福里南園二路351號(1樓)","1 F., No. 351, Nanyuan 2nd Rd., Zhongfu Vil., Zhongli Dist., Taoyuan City 320017, Taiwan (R.O.C.)"
"40581974","興德木行股份有限公司","HSING TEH LUMBER CO., LTD.","宜蘭縣五結鄉中興村南興路28號","No. 28, Nanxing Rd., Zhongxing Vil., Wujie Township,  Yilan County 268034, Taiwan (R.O.C.)"
"40583282","吉泰號","JIEN TAI SHOP","宜蘭縣五結鄉四結村四結路７０號","No. 70, Wujie Township, Yilan County 268, Taiwan (R.O.C.)"
"40585583","明雄號","MI SHOUN SHOP","宜蘭縣羅東鎮漢民里中山西路２１０號","No. 210, Zhongshan W. St., Hanmin Vil., Luodong Township, Yilan County 26545, Taiwan (R.O.C.)"
"40586099","南洋礦業股份有限公司","SOUTH PACIFIC MINING CO., LTD.","新北市五股區新五路2段237號","No. 237, Sec. 2, Xin 5th Rd., Wugu Dist., New Taipei City 24887, Taiwan (R.O.C.)"
"40586345","立全氣體廠股份有限公司","LEH CHUAN AIR FACTORY CORP.","宜蘭縣冬山鄉大興村龍祥十路23號","No. 23, Longxiang 10th Rd., Dongshan Township, Yilan County 26950, Taiwan (R.O.C.)"
"40586485","吉珍廛商行","JI ZHEN CHAN COMPANY","臺中市南屯區溝墘里大墩十七街８９號１樓","1 F., No. 89, Dadun 17th St., Gouqian Vil., Nantun Dist., Taichung City 408321, Taiwan (R.O.C.)"
"40592260","屋妹商店","Umei Shop","臺中市大里區內新里新南路７９號","No. 79, Xinnan Rd., Neixin Vil., Dali Dist., Taichung City 41241, Taiwan (R.O.C.)"
"40592509","景立木業股份有限公司","JING LIH LUMBER CO., LTD.","宜蘭縣羅東鎮安平路74號1樓","1 F., No. 74, Anping Rd., Luodong Township, Yilan County 26548, Taiwan (R.O.C.)"
"40592607","活寶食品股份有限公司","HUO PAO FOOD CO., LTD.","宜蘭縣冬山鄉太和村太和路500號","No. 500, Taihe Rd., Dongshan Township, Yilan County 26947, Taiwan (R.O.C.)"
"40593280","寬欣企業社","KUANXINM ENTERPRISE COMPANY","臺中市大雅區三和里雅潭路四段１１１之１號","No. 111-1, Sec. 4, Yatan Rd., Sanhe Vil., Daya Dist., Taichung City 42854, Taiwan (R.O.C.)"
"40593541","春億帶鋸行","CHUN YI BAND SAW HANG","宜蘭縣五結鄉福興村中福南路16號","No. 16, Zhongfu S. Rd., Fuxing Vil., Wujie Township,  Yilan County 268012, Taiwan (R.O.C.)"
"40593839","尚暉企業社","SHANG HUI COTTON ENTERPRISE CO.","臺中市龍井區龍泉里中社八街２０３號1樓","1 F., No. 203, Zhongshe 8th St., Longquan Vil., Longjing Dist., Taichung City 43452, Taiwan (R.O.C.)"
"40594252","偉建實業股份有限公司","WE-GIEN ENTERPRISE CO., LTD.","宜蘭縣冬山鄉大興村德興五路27號1樓","1 F., No. 27, Dexing 5th Rd., Dongshan Township, Yilan County 26950, Taiwan (R.O.C.)"
"40595631","人達服裝有限公司","RENDAR COSTUMER CO., LTD.","宜蘭縣羅東鎮賢文里民生路128號3樓","3 F., No. 128, Minsheng Rd., Xianwen Vil., Luodong Township, Yilan County 26547, Taiwan (R.O.C.)"
"40599432","銀全成行","EN CHEAN SHOP","宜蘭縣羅東鎮集祥里民生路６號","No. 6, Minsheng Rd., Jixiang Vil., Luodong Township, Yilan County 26547, Taiwan (R.O.C.)"
"40601248","幸福水泥股份有限公司","LUCKY CEMENT CORPORATION","宜蘭縣南澳鄉東岳村蘇花路3段101號","No. 101, Sec. 3, Suhua Rd., Nan’ao Township, Yilan County 27291, Taiwan (R.O.C.)"
"40601633","裕和企業有限公司","YU SHIANG WOOD LTD.","宜蘭縣羅東鎮中山路二段131號","No. 131, Sec. 2, Zhongshan Rd., Luodong Township, Yilan County 26561, Taiwan (R.O.C.)"
"40601726","協德海產商行","XIE DE Marin Products Firm","臺中市清水區武鹿里平等東路４２號１樓","1F., NO. 42, PINGDENG E. RD., WULU VIL., QINGSHUI DIST., TAICHUNG CITY 436038, TAIWAN (R.O.C.)"
"40603007","梅林白石化工股份有限公司","MEI LIN WHITE-STONE CHEMICALS CO., LTD.","宜蘭縣冬山鄉廣興村梅花路662號","No. 662, Meihua Rd., Guangxing Vil., Dongshan Township,  Yilan County 269024, Taiwan (R.O.C.)"
"40603442","江勝行木材股份有限公司","JU SUN LUMBER CO., LTD.","宜蘭縣冬山鄉永美村永安路193號","No. 193, Yong'an Rd., Yongmei Vil., Dongshan Township,  Yilan County 269026, Taiwan (R.O.C.)"
"40605954","定原企業社","DIIN YUAN COMPANY","臺中市北屯區水景里東山路一段２１０巷６號２樓","2 F., No. 6, Ln. 210, Sec. 1, Dongshan Rd., Shuijing Vil., Beitun Dist., Taichung City 406013, Taiwan (R.O.C.)"
"40606285","玉兔文具工廠股份有限公司","RABBIT INDUSTRIAL CORP.","宜蘭縣五結鄉中興路3段330號","No. 330, Sec. 3, Zhongxing Rd., Wujie Township, Yilan County 268018, Taiwan (R.O.C.)"
"40606659","中晟機械廠有限公司","CHUNG CHENG MACHINE & ENGINEERING LTD.","宜蘭縣蘇澳鎮新城里新城一路38號","No. 38, Xincheng 1st Rd., Xincheng Vil., Su’ao Township, Yilan County 27050, Taiwan (R.O.C.)"
"40607762","龍德造船工業股份有限公司","LUNGTEH SHIPBUILDING CO., LTD.","宜蘭縣冬山鄉大興村德興五路15號","No. 15, Dexing 5th Rd., Daxing Vil., Dongshan Township,  Yilan County 269031, Taiwan (R.O.C.)"
"40608312","益裕木材有限公司","YU YU WOOD CO., LTD.","宜蘭縣羅東鎮中山路2段39號","No. 39, Sec. 2, Zhongshan Rd., Luodong Township, Yilan County 26561, Taiwan (R.O.C.)"
"40608410","昆豐樹脂材料科技股份有限公司","KUEN FENG MATERIAL TECHNOLOGY CORPORATION","宜蘭縣蘇澳鎮龍祥一路5號","No. 5, Longxiang 1st Rd., Su’ao Township, Yilan County 27051, Taiwan (R.O.C.)"
"40610632","順天漁業股份有限公司","SHUENN TIAN FISHERY CO., LTD.","宜蘭縣蘇澳鎮南正里江夏路65號","No. 65, Jiangxia Rd., Nanzheng Vil., Su’ao Township, Yilan County 27042, Taiwan (R.O.C.)"
"40611203","宏昇號","HWAN SHEING SHOP","宜蘭縣羅東鎮漢民里國華街2號","No. 2, Guohua St., Hanmin Vil., Luodong Township, Yilan County 265003, Taiwan (R.O.C.)"
"40613011","奇玉室內設計","GU Design Studio","臺中市西區土庫里五權西五街３０巷２５號１樓","1 F., No. 25, Ln. 30, Wuquan W. 5th St., Tuku Vil., West Dist., Taichung City 40348, Taiwan (R.O.C.)"
"40613146","公昌工礦股份有限公司","KONG-CHANG CORPORATION","宜蘭縣蘇澳鎮永春路143號","No. 143, Yongchun Rd., Su’ao Township, Yilan County 27046, Taiwan (R.O.C.)"
"40613336","豐正行","FONG CHENG INTERNATIONAL BUILDING MATERIALS CO.","宜蘭縣五結鄉五結村自強路129號一樓","1 F., No. 129, Ziqiang Rd., Wujie Township, Yilan County 26845, Taiwan (R.O.C.)"
"40613954","百陞玻璃棉股份有限公司","BAE SHENG GLASSWOOL CO., LTD.","臺北市大安區仁愛路3段123巷26弄5之1號2樓","2 F., No. 5-1, Aly. 26, Ln. 123, Sec. 3, Ren’ai Rd., Da’an Dist., Taipei City 10656, Taiwan (R.O.C.)"
"40615405","一棵小樹工作室","ONE LITTLE TREE STUDIO","臺中市大里區中新里益民路一段５０１號三樓","3 F., No. 501, Sec. 1, Yimin Rd., Zhongxin Vil., Dali Dist., Taichung City 41241, Taiwan (R.O.C.)"
"40615720","順泰鮮肉號","SWING TAI SHOP","宜蘭縣羅東鎮集祥里民生路６號","No. 6, Minsheng Rd., Jixiang Vil., Luodong Township, Yilan County 26547, Taiwan (R.O.C.)"
"40616426","鑫鑫機器廠","SXIN SXIN MACHINERY FACTORY","宜蘭縣五結鄉福興村新五路9號一樓","1F., No. 9, Xin 5th Rd., Fuxing Vil., Wujie Township,  Yilan County 268038, Taiwan (R.O.C.)"
"40617635","耀華木材有限公司","YAO HUA LUMBER CO., LTD.","宜蘭縣羅東鎮仁愛里復興路3段56號","No. 56, Sec. 3, Fuxing Rd., Ren’ai Vil., Luodong Township, Yilan County 26562, Taiwan (R.O.C.)"
"40618661","法果商行","FA KUO ENTERPRISE CO","臺中市西區公正路２２６號１樓","1 F., No. 226, Gongzheng Rd., West Dist., Taichung City 40361, Taiwan (R.O.C.)"
"40619606","南成肉號","NAN CHAEN SHOP","宜蘭縣蘇澳鎮南正里民生路５９之１號","No. 59-1, Minsheng Rd., Nanzheng Vil., Su'ao Township, Yilan County 270002, Taiwan (R.O.C.)"
"40619710","鴻昇冷凍設備實業社","Hon sheng enginery industrial co.","宜蘭縣蘇澳鎮聖湖里中山路一段五五六號一樓","1 F., No. 556, Sec. 1, Zhongshan Rd., Shenghu Vil., Su’ao Township, Yilan County 27044, Taiwan (R.O.C.)"
"40622010","金亮肉店","BRIGHT GOLD LEAK OF ELECTRICITY CO.","宜蘭縣宜蘭市東村里校舍路六一號一樓","1 F., No. 61, Xiaoshe Rd., Dongcun Vil., Yilan City, Yilan County 26058, Taiwan (R.O.C.)"
"40622335","小古農業資材企業社","Xiaogu Agriculture Co.","臺中市北屯區后庄里后庄一街１１１號１樓","1 F., No. 111, Houzhuang 1st St., Houzhuang Vil., Beitun Dist., Taichung City 40678, Taiwan (R.O.C.)"
"40622341","誠德汽車商行","CHENG DE CAR COMPANY","臺中市太平區德隆里德興街８１號１樓","1 F., No. 81, Dexing St., Delong Vil., Taiping Dist., Taichung City 41147, Taiwan (R.O.C.)"
"40622567","星帝室內裝修工程股份有限公司","SILENT DECO INC.","臺北市松山區民權東路3段142號8樓之2","8F.-2, No. 142, Sec. 3, Minquan E. Rd., Songshan Dist., Taipei City 10542, Taiwan (R.O.C.)"
"40624066","咕咕香甕缸雞","Guguxiang Co.","臺中市西屯區福安里西屯路三段８９之２號","No. 89-2, Sec. 3, Xitun Rd., Fu’an Vil., Xitun Dist., Taichung City 40765, Taiwan (R.O.C.)"
"40624235","裕泰實業社","YU TAI HARDWARE CO.","宜蘭縣宜蘭市思源里農權路三段197巷10弄36號一樓","1 F., No. 36, Aly. 10, Ln. 197, Sec. 3, Nongquan Rd., Siyuan Vil., Yilan City, Yilan County 26059, Taiwan (R.O.C.)"
"40625776","竹林農牧場股份有限公司","CHU LIN FARM CO., LTD.","宜蘭縣礁溪鄉大忠村大忠路173號1樓","1 F., No. 173, Dazhong Rd., Jiaoxi Township, Yilan County 26247, Taiwan (R.O.C.)"
"40626775","貝地商行","BEI DI TRADING CO.","臺中市北區建興里大義街１３０巷１３號","No. 13, Ln. 130, Dayi St., Jianxing Vil., North Dist., Taichung City 40454, Taiwan (R.O.C.)"
"40627578","加泰奈米科技有限公司","JER TAI INDUSTRIAL CO., LTD.","宜蘭縣員山鄉頭分村頭分路95號","No. 95, Toufen Rd., Yuanshan Township, Yilan County 26446, Taiwan (R.O.C.)"
"40628204","碰世代設計工作室","BON FOR DESIGN STUDIO","臺中市太平區宜佳里宜佳街４１巷１１號４樓","4 F., No. 11, Ln. 41, Yijia St., Yijia Vil., Taiping Dist., Taichung City 41159, Taiwan (R.O.C.)"
"40631735","貴興肉號","GLAN SHENG SHOP","宜蘭縣宜蘭市民生里光復路（宜巿公有第一零售巿場３２９號）","No. 329, Guangfu Rd., Minsheng Vil., Yilan City, Yilan County 26043, Taiwan (R.O.C.)"
"40633213","連泰廚具企業股份有限公司","LIE TAI KITCHEN CABINET CO., LTD.","宜蘭縣五結鄉學進路九六之二號","No. 96-2, Wujie Township, Yilan County 268, Taiwan (R.O.C.)"
"40633760","鼎昌工業社","DINCHAN INDUSTRY CO.","臺中市北屯區松勇里北屯路５３１號１樓","1 F., No. 531, Beitun Rd., Songyong Vil., Beitun Dist., Taichung City 40648, Taiwan (R.O.C.)"
"40633945","明益行","MEI EN SHOP","宜蘭縣宜蘭市孝廉里舊城北路130號一樓","1 F., No. 130, Jiucheng N. Rd., Xiaolian Vil., Yilan City, Yilan County 26042, Taiwan (R.O.C.)"
"40634326","國貿營造有限公司","KUO-MAO CONSTRUCTION CO., LTD.","宜蘭縣宜蘭市神農路二段106號","No. 106, Sec. 2,  Shennong Rd., Yilan City,  Yilan County 260, Taiwan (R.O.C.)"
"40634352","品登企業社","PIN-DENG GIFT CO.","臺中市北屯區大坑里東山路二段貴城巷７號１樓","1 F., No. 7, Guicheng Ln., Sec. 2, Dongshan Rd., Dakeng Vil., Beitun Dist., Taichung City 40662, Taiwan (R.O.C.)"
"40635893","群益國際企業社","CHYUN YIH INTERNATIONAL COMPANY","嘉義縣民雄鄉雙福村雙福７７-７號","No. 77-7, Shuangfu, Minxiong Township, Chiayi County 621021, Taiwan (R.O.C.)"
"40635970","祺?工業股份有限公司","CHI FUNG TOYS CO., LTD.","宜蘭縣頭城鎮頂埔里頂埔路一段156巷22號","No. 22, Ln. 156, Sec. 1, Dingpu Rd., Dingpu Vil., Toucheng Township, Yilan County 26146, Taiwan (R.O.C.)"
